"n_workers","n_rep","wall_s","lo","hi","startup_s","compute_s","peak_worker_gb","speedup","efficiency","speedup_compute","peak_job_gb"
1,3,494.529,485.811,528.982,0.390000000000001,494.139,3.552734375,1,1,1,3.552734375
2,3,277.425,276.846,278.089,8.198,269.227,3.529296875,1.78256826169235,0.891284130846175,1.83539912415917,7.2724609375
3,3,197.019,196.67,197.257,8.212,188.807,2.8818359375,2.51005740563093,0.836685801876976,2.61716461783726,9.572265625
4,3,154.314,154.139,156.296,8.577,145.737,2.9462890625,3.20469302850033,0.801173257125083,3.39062146194858,11.431640625
5,3,129.896,128.807,130.285,8.747,121.149,3.1005859375,3.8071149227074,0.761422984541479,4.07877076987841,13.087890625
6,3,114.426,114.025,115.952,9.038,105.388,3.59375,4.32182371139427,0.720303951899044,4.68875963107754,14.7666015625
