"n_workers","n_rep","wall_s","lo","hi","startup_s","compute_s","peak_worker_gb","speedup","efficiency","speedup_compute","peak_job_gb"
1,3,590.266,586.143,590.702,0.518999999999998,589.747,3.46875,1,1,1,3.46875
2,3,336.793,335.386,337.584,8.152,328.641,2.5029296875,1.75260768483906,0.876303842419528,1.79450220757605,6.83203125
3,3,239.579,233.101,243.943,8.305,231.274,2.634765625,2.46376351850538,0.821254506168459,2.54999264941152,8.3642578125
4,3,197.421,196.397,199.791,8.57,188.851,2.1796875,2.98988456141951,0.747471140354876,3.12281640023087,8.95703125
5,3,179.691,178.002,184.042,8.366,171.325,2.00390625,3.28489462466123,0.656978924932246,3.44227053845032,8.7900390625
6,3,179.835,176.376,214.949,9.351,170.484,2.80859375,3.28226429782856,0.547044049638094,3.45925130804064,9.087890625
