"strategy","n_workers","n_tasks","wall_s","startup_s","wall_compute_s","work_s","balance_floor","hard_floor","speedup","efficiency","idle_s","max_rss_gb","n_windows","rep"
"static",1,2,19.733,0.00100000000000122,19.732,19.698,19.698,10.934,0.998276910602068,0.998276910602068,0.0340000000000025,1.467592704,396146,1
"static",2,2,21.289,7.377,13.912,24.361,12.1805,12.407,1.75107820586544,0.87553910293272,3.463,1.237495808,396146,1
"static",3,2,20.912,7.427,13.485,22.898,7.63266666666667,11.604,1.69803485354097,0.566011617846991,17.557,1.275232256,396146,1
"dynamic",1,2,17.629,0,17.629,17.602,17.602,9.33,0.998468432696126,0.998468432696126,0.027000000000001,1.553055744,396146,1
"dynamic",2,2,19.503,7.047,12.456,22.059,11.0295,11.118,1.77095375722543,0.885476878612717,2.853,1.269039104,396146,1
"dynamic",3,2,19.657,6.971,12.686,21.979,7.32633333333333,11.109,1.73253980766199,0.577513269220663,16.079,1.267544064,396146,1
"segment",1,3,17.449,0,17.449,17.424,17.424,8.81,0.998567253137715,0.998567253137715,0.0250000000000057,1.706807296,396146,1
"segment",2,3,20.351,6.618,13.733,24.409,12.2045,11.99,1.77739750964829,0.888698754824146,3.057,1.498361856,396146,1
"segment",3,3,20.737,7.4,13.337,25.029,8.343,11.711,1.87665891879733,0.625552972932444,14.982,1.488228352,396146,1
