"strategy","n_workers","n_tasks","wall_s","work_s","balance_floor","hard_floor","efficiency","idle_s","max_rss_gb","n_windows","rep"
"static",2,2,20.736,38.458,19.229,19.334,0.927324459876543,3.014,1.272967168,396146,1
"static",3,2,20.78,38.021,12.6736666666667,19.176,0.609897337183189,24.319,1.271566336,396146,1
"dynamic",2,2,20.258,37.385,18.6925,18.833,0.922721887649324,3.13100000000001,1.225187328,396146,1
"dynamic",3,2,21.945,40.074,13.358,20.154,0.60870357712463,25.761,1.227567104,396146,1
"segment",2,3,23.09,42.523,21.2615,20.993,0.920809874404504,3.657,1.519972352,396146,1
"segment",3,3,23.257,52.98,17.66,21.333,0.759341273595047,16.791,1.462689792,396146,1
