"strategy","n_workers","n_tasks","wall_s","work_s","balance_floor","hard_floor","efficiency","idle_s","max_rss_gb","n_windows","rep"
"static",2,2,19.626,22.669,11.3345,11.486,0.57752471211658,16.583,1.273679872,396146,1
"static",3,2,20.181,22.245,7.415,11.265,0.367424805510133,38.298,1.267859456,396146,1
"dynamic",2,2,19.874,22.673,11.3365,11.497,0.570418637415719,17.075,1.276145664,396146,1
"dynamic",3,2,21.905,23.5,7.83333333333333,11.894,0.357604808643384,42.215,1.271545856,396146,1
"segment",2,3,22.988,25.773,12.8865,12.597,0.560575082651818,20.203,1.478836224,396146,1
"segment",3,3,22.332,26.727,8.909,12.58,0.398934264732223,40.269,1.418272768,396146,1
